original_name,current_name,mapping_status,mapping_notes,validation_status,validation_notes
Akkermansia,Akkermansia,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Intestinimonas,Intestinimonas,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Alcaligenes,Alcaligenes,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Lactobacillus,Lactobacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Erysipelotrichaceae,Erysipelotrichaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
UCG-008,UCG-008,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
[Eubacterium]_brachy_group,[Eubacterium]_brachy_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Oxalobacter,Oxalobacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Paludicola,Paludicola,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Holdemania,Holdemania,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Rikenella,Rikenella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Ligilactobacillus,Ligilactobacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Sellimonas,Sellimonas,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Desulfotomaculum,Desulfotomaculum,current_valid,Name is currently valid ( genus level),valid,NCBI validated
CHKCI001,CHKCI001,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
GCA-900066575,GCA-900066575,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Staphylococcus,Staphylococcus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Anaerotruncus,Anaerotruncus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Bacillus,Bacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Clostridium_sensu_stricto_1,Clostridium_sensu_stricto_1,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
CAG-56,CAG-56,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
UCG-002,UCG-002,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Roseburia,Roseburia,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Limosilactobacillus,Limosilactobacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Streptococcus,Streptococcus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Candidatus_Stoquefichus,Candidatus Stoquefichus,mapped_to_current,Updated to current scientific name: Candidatus_Stoquefichus -> Candidatus Stoquefichus ( genus level),valid,NCBI validated
NK4A214_group,NK4A214_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Faecalicoccus,Faecalicoccus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Synergistes,Synergistes,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Phascolarctobacterium,Phascolarctobacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Rikenellaceae_RC9_gut_group,Rikenellaceae_RC9_gut_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
[Eubacterium]_nodatum_group,[Eubacterium]_nodatum_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Weissella,Weissella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Sutterella,Sutterella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Prevotellaceae_UCG-001,Prevotellaceae_UCG-001,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Cerasicoccus,Cerasicoccus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Flavonifractor,Flavonifractor,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Victivallaceae,Victivallaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Methanomassiliicoccus,Methanomassiliicoccus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Enterorhabdus,Enterorhabdus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Peptococcus,Peptococcus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
CHKCI002,CHKCI002,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Bifidobacterium,Bifidobacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Helicobacter,Helicobacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Pseudomonas,Pseudomonas,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Brevibacterium,Brevibacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Erysipelotrichaceae_UCG-003,Erysipelotrichaceae_UCG-003,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Nitrosomonas,Nitrosomonas,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Brachybacterium,Brachybacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Anaerostignum,Anaerostignum,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Catenibacillus,Catenibacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
DNF00809,DNF00809,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Parasutterella,Parasutterella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Pseudoflavonifractor,Pseudoflavonifractor,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Parabacteroides,Parabacteroides,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Methanobrevibacter,Methanobrevibacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
DTU089,DTU089,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
